title,calory_count,proteins,fats,carbohydrates
Палтус черный,196,12.8,16.1,0.0
Паста ацидофильная,203,6.6,8.0,25.5
Паста молочная,81,5.5,0.2,13.5
Паста молочная нежирная,53,11.0,0.2,2.0
Паста «Океан»,88,17.5,2.0,0.0
Пастернак (корень),47,1.4,0.5,9.2
Пастила,324,0.5,0.0,80.0
Патиссон,19,0.6,0.1,4.3
Патока кукурузная,316,0.0,0.3,78.3
Пахта,62,3.0,3.6,4.8
Пахта пастеризованная,41,3.3,1.0,4.7
Пахта сквашенная,40,3.3,1.0,3.8
Паштет мясной (говяжий),275,16.1,23.3,0.4
Паштет печеночный,301,11.6,28.1,3.4
Пектин,52,3.5,0.0,9.3
Пеламида,217,22.4,14.2,0.0
Перепелка,239,18.0,18.6,0.0
Перец душистый,0,0.0,0.0,0.0
Перец жгучий красный,40,1.87,0.44,7.31
Перец красный сладкий,26,1.3,0.0,5.7
Перец молотый красный,318,12.01,17.27,29.43
Перец сладкий,26,1.3,0.1,4.9
Перец сладкий маринованный,24,1.3,0.1,4.9
Перец черный горошек,255,10.95,3.26,38.31
Перец черный молотый,255,10.95,3.26,38.31
Персик,45,0.9,0.1,9.5
Персики консервированные,40,0.9,0.1,9.5
Персиковое масло,899,0.0,99.9,0.0
Персик сушеный,254,3.0,0.4,57.7
Песочное с фруктовой начинкой,424,5.1,18.5,63.3
Петрушка,49,3.7,0.4,7.6
Печень баранья,100,18.7,2.9,0.0
Печень говяжья,127,17.9,3.7,5.3
Печень гусиная,411,15.2,39.0,0.0
Печенье,417,7.5,11.8,74.9
Печенье затяжное,396,7.7,9.1,70.9
Печенье сахарное,407,7.4,9.4,73.1
Печенье сдобное,451,6.4,16.8,68.5
Печенье сдобное миндальное,422,7.6,13.6,67.4
Печенье с пониженным содержанием сахара,476,8.3,23.6,61.6
Печень индейки,276,19.5,22.0,0.0
Печень куриная,139,20.4,5.9,1.4
Печень свиная,109,18.8,3.8,4.7
Печень телячья,97,17.4,3.1,0.0
Печень трески,613,4.2,65.7,1.2
Печень утиная,405,15.8,38.0,0.0
Пиво Жигулёвское,37,0.6,0.0,4.8
Пиво светлое,42,0.3,0.0,4.6
Пиво темное,48,0.3,0.0,5.7
Пикша,73,17.2,0.5,0.0
Пирожное,464,2.8,24.3,62.6
Пирожное бисквитное с белковым кремом,336,4.4,7.3,63.1
Пирожное вафельное молочное,572,4.8,36.7,55.3
Пирожное воздушное с кремом,440,2.6,20.8,60.5
Пирожное заварное с кремом (трубочка),433,4.4,24.5,48.8
Пирожное крошковое,388,5.9,19.4,47.5
Пирожное миндальное,433,8.5,16.2,63.2
Пирожное песочное с кремом,485,5.1,28.2,52.1
